hanzi,pinyin,english,word_type
机票,ji1piao4,airplane ticket,vocab
火车,huo3che1,train,vocab
快,kuai4,soon; about to,vocab
到站,dao4zhan4,to arrive at the station,vocab
路口,lu4kou3,intersection,vocab
车,che1,vehicle; car,vocab
路上,lu4shang5,on the way home,vocab
面包,mian4bao1,bread,vocab
新,xin1,new,vocab
贵,gui4,expensive,vocab
包,bao1,bag; package,vocab
书店,shu1dian4,bookstore,vocab
花,hua1,flowers,vocab
一些,yi1xie1,some; a few,vocab
门票,men2piao4,ticket (for admission to a venue or event),vocab
牛奶,niu2nai3,milk,vocab
鸡蛋,ji1dan4,egg,vocab
肉,rou4,meat,vocab
饿,e4,to be hungry,vocab
渴,ke3,to be thirsty,vocab
晚饭,wan3fan4,dinner; evening meal,vocab
面条,mian4tiao2,noodles,vocab
儿,er2,diminutive suffix (used to make nouns sound more colloquial or affectionate),vocab
包子,bao1zi5,steamed bun; a Chinese dumpling made of dough filled with meat or vegetables,vocab
风,feng1,wind,vocab
忙,mang2,busy,vocab
生气,sheng1qi4,to be angry,vocab
干净,gan1jing4,clean,vocab
生病,sheng1bing4,to become ill; to get sick,vocab
看病,kan4bing4,to see a doctor; to receive medical treatment,vocab
病人,bing4ren2,patient,vocab
真,zhen1,really; truly; very,vocab
穿,chuan1,to wear,vocab
进来,jin4lai2,to come in; to enter,vocab
哪个,na3ge5,which one,vocab
是不是,shi4bu4shi4,is...or not; isn't...?,vocab
时间,shi2jian1,time; free time,vocab
还是,hai2shi5,or (used to present alternative choices or options),vocab
哪些,na3xie1,which ones; which of these,vocab
手机,shou3ji1,mobile phone; cell phone,vocab
本子,ben3zi5,notebook,vocab
课本,ke4ben3,textbook,vocab
课文,ke4wen2,lesson text; textbook passage,vocab
地图,di4tu2,map,vocab
放,fang4,to place; to put,vocab
洗手间,xi3shou3jian1,bathroom; restroom; toilet,vocab
哪里,na3li3,where,vocab
国家,guo2jia1,country; nation,vocab
有名,you3ming2,famous,vocab
有用,you3yong4,useful,vocab
远,yuan3,far,vocab
坐车,zuo4che1,to take a vehicle/ride in a car,vocab
重,chong2,heavy,vocab
事,shi4,matter,vocab
重要,zhong4yao4,important,vocab
爱好,ai4hao4,hobby; interest,vocab
打球,da3qiu2,to play ball/sports,vocab
非常,fei1chang2,extremely; very,vocab
好看,hao3kan4,"good-looking, visually appealing",vocab
觉得,jue2de5,to feel; to think,vocab
老人,lao3ren2,old person; elderly person,vocab
家里,jia1li3,at home,vocab
笑,xiao4,to smile/laugh,vocab
着,zhao1,continuous aspect marker indicating an ongoing or progressive action,vocab
跟,gen1,with,vocab
看到,kan4dao4,to see; to catch sight of,vocab
听见,ting1jian4,to hear,vocab
听到,ting1dao4,to hear,vocab
问,wen4,to ask,vocab
回答,hui2da2,to answer; to reply,vocab
请假,qing3jia4,to ask for leave/time off,vocab
最后,zui4hou4,last,vocab
页,xie2,page,vocab
最好,zui4hao3,best,vocab
生日,sheng1ri4,birthday,vocab
出来,chu1lai2,to come out,vocab
进去,jin4qu4,to go in; to enter,vocab
送,song4,to send; to take (someone somewhere),vocab
对,dui4,correct; right,vocab
错,cuo4,wrong; incorrect,vocab
请到,qing3dao4,please come here,vocab
别,bie2,don't; don't go,vocab
这边,zhe4bian1,this side,vocab
那边,na4bian5,that side; over there,vocab
这里,zhe4li3,here; this place,vocab
那里,na4li5,there,vocab
路,lu4,road,vocab
楼,lou2,building; multi-story building,vocab
上边,shang4bian5,upper part; upstairs,vocab
下边,xia4bian5,below; downstairs; the lower part,vocab
中学生,zhong1xue2sheng1,middle school student,vocab
女人,nu:3ren2,woman,vocab
男人,nan2ren2,man; male person,vocab
女孩儿,nu:3hai2r5,little girl,vocab
男孩儿,nan2hai2r5,little boy,vocab
说话,shuo1hua4,to speak; to talk,vocab
听写,ting1xie3,to listen and write down; dictation,vocab
外语,wai4yu3,foreign language,vocab
知识,zhi1shi5,knowledge,vocab
天上,tian1shang4,sky,vocab
飞,fei1,to fly,vocab
忘,wang4,to forget,vocab
考好,kao3hao3,to do well on a test/exam,vocab
试,shi4,to try,vocab
干什么,gan4shen2me5,what to do,vocab
回到,hui2dao4,to return to; to go back to,vocab
回去,hui2qu5,to go back; to return,vocab
睡,shui4,to sleep,vocab
几月几日,ji3yue4ji3ri4,what month and what day,vocab
早,zao3,early,vocab
晚,wan3,late,vocab
半天,ban4tian1,a long time; for ages,vocab
球,qiu2,ball,vocab
最大,zui4da4,biggest; largest,vocab
再,zai4,again; a little longer,vocab
一下儿,yi1xia4r5,a moment; a little while,vocab
先,xian1,first; go ahead,vocab
一块儿,yi1kuai4r5,together,vocab
一样,yi1yang4,the same as; identical to,vocab
从,cong2,from,vocab
过,guo1,perfective aspect marker indicating a completed action or experience,vocab
还有,hai2you3,there is still; there is also,vocab
有些,you3xie1,some,vocab
有的,you3de5,some (people); others,vocab
别的,bie2de5,other; other things,vocab
房子,fang2zi5,house,vocab
车站,che1zhan4,station (a place where vehicles stop to pick up and drop off passengers),vocab
电视机,dian4shi4ji1,television set,vocab
用,yong4,to use; to consume (electricity),vocab
电,dian4,electricity,vocab
书包,shu1bao1,schoolbag; backpack,vocab
地方,di4fang1,place,vocab
地点,di4dian3,location; place; spot,vocab
见面,jian4mian4,to meet,vocab 
国外,guo2wai4,abroad; foreign country,vocab
坏,huai4,broken,vocab
不对,bu4dui4,not right; incorrect; wrong,vocab
不大,bu4da4,not very; not particularly,vocab
高,gao1,tall,vocab
白,bai2,white,vocab
找到,zhao3dao4,to find,vocab
得到,de2dao4,to obtain; to get; to receive,vocab
来到,lai2dao4,to arrive at; to come to,vocab
真的,zhen1de5,really; truly; genuinely,vocab
好玩儿,hao3wan2r5,fun; entertaining,vocab
没事儿,mei2shi4r5,it's nothing; it's okay; never mind,vocab
没什么,mei2shen2me5,it's nothing; no big deal,vocab
见,jian4,see,vocab
进,jin4,to enter,vocab
开会,kai1hui4,to have a meeting,vocab
开玩笑,kai1wan2xiao4,to joke; to make fun of; to tease,vocab
关门,guan1men2,close the door,vocab
中学,zhong1xue2,middle school,vocab
小学,xiao3xue2,primary school,vocab
日期,ri4qi1,date,vocab
有病,you3bing4,to be ill; to be sick,vocab
票,piao4,ticket,vocab
老,lao3,old; aged,vocab
行,hang2,okay; alright; let's go,vocab
饭,fan4,rice; meal; food,vocab
很少,hen3shao3,very few; rarely; seldom,vocab
动,dong4,move,vocab
动作,dong4zuo4,movement; action; gesture,vocab
半年,ban4nian2,half a year; six months,vocab
上次,shang4ci4,last time,vocab
下次,xia4ci4,next time,vocab
一边,yi1bian1,while; at the same time as,vocab
唱,chang4,to sing,vocab
她们,ta1men5,they (female),vocab
小孩儿,xiao3hai2r5,child; little child,vocab
放学,fang4xue2,school is over; to be dismissed from school,vocab
身上,shen1shang5,on one's body; on oneself,vocab
那些,na4xie1,those,vocab
间,jian1,classifier for rooms,vocab
歌,ge1,song,vocab
东,dong1,east,vocab
南,nan2,south,vocab
西,xi1,west,vocab
北,bei3,north,vocab
女,nu:3,female; woman,vocab
男,nan2,male,vocab
常,chang2,often; frequently,vocab
差一点儿,cha4yi1dian3r5,almost; nearly,vocab
七天,qi1tian1,seven days,vocab
一元,yi1yuan2,one yuan (Chinese currency unit),vocab
十毛,shi2mao2,ten mao (a unit of currency equal to one-tenth of a yuan),vocab
一半,yi1ban4,half,vocab
一年,yi1nian2,one year,vocab
个月,ge4yue4,month,vocab
九月十号,jiu3yue4shi2hao4,September 10th,vocab
两个,liang3ge4,two,vocab
六岁,liu4sui4,six years old,vocab
三岁,san1sui4,three years old,vocab
三本,san1ben3,three books,vocab
一家,yi1jia1,one family; a family,vocab
年九月,nian2jiu3yue4,September of the year (September 2011),vocab
五口,wu3kou3,five people (members of a family),vocab
早上七点,zao3shang4qi1dian3,seven o'clock in the morning,vocab
一个小时,yi2ge4xiao3shi2,one hour,vocab
年五月,nian2wu3yue4,May of the year (May 2014),vocab
上午九点半,shang4wu3jiu3dian3ban4,9:30 in the morning,vocab
九点十分,jiu3dian3shi2fen1,"9:10 (nine ten, a time of day)",vocab
零点,ling2dian3,midnight,vocab
八块钱,ba1kuai4qian2,eight yuan (Chinese currency),vocab
次,ci4,time (occurrence),vocab
